grna_id	grna_target	chr	start	end
250514_VIC_CFB_TSS_Enhancers_250	VIC_CYP26B1_enh_1	chr2	71578869.0	71578889.0
250514_VIC_CFB_TSS_Enhancers_251	VIC_CYP26B1_enh_1	chr2	71578874.0	71578894.0
250514_VIC_CFB_TSS_Enhancers_252	VIC_CYP26B1_enh_1	chr2	71578885.0	71578905.0
250514_VIC_CFB_TSS_Enhancers_253	VIC_CYP26B1_enh_1	chr2	71578908.0	71578928.0
250514_VIC_CFB_TSS_Enhancers_254	VIC_CYP26B1_enh_1	chr2	71578971.0	71578991.0
250514_VIC_CFB_TSS_Enhancers_255	VIC_CYP26B1_enh_1	chr2	71578982.0	71579002.0
250514_VIC_CFB_TSS_Enhancers_256	ENSG00000003137	chr2	72142837.0	72142857.0
250514_VIC_CFB_TSS_Enhancers_257	ENSG00000003137	chr2	72142889.0	72142909.0
250514_VIC_CFB_TSS_Enhancers_258	ENSG00000003137	chr2	72142940.0	72142960.0
250514_VIC_CFB_TSS_Enhancers_259	ENSG00000003137	chr2	72143002.0	72143022.0
250514_VIC_CFB_TSS_Enhancers_260	ENSG00000003137	chr2	72143020.0	72143040.0
250514_VIC_CFB_TSS_Enhancers_261	ENSG00000003137	chr2	72143056.0	72143076.0
250514_VIC_CFB_TSS_Enhancers_262	ENSG00000003137	chr2	72143064.0	72143084.0
250514_VIC_CFB_TSS_Enhancers_263	ENSG00000003137	chr2	72143067.0	72143087.0
250514_VIC_CFB_TSS_Enhancers_264	ENSG00000003137	chr2	72143122.0	72143142.0
250514_VIC_CFB_TSS_Enhancers_265	ENSG00000003137	chr2	72143181.0	72143201.0
250514_VIC_CFB_TSS_Enhancers_266	ENSG00000003137	chr2	72143203.0	72143223.0
250514_VIC_CFB_TSS_Enhancers_267	ENSG00000003137	chr2	72143251.0	72143271.0
250514_VIC_CFB_TSS_Enhancers_268	ENSG00000003137	chr2	72143258.0	72143278.0
250514_VIC_CFB_TSS_Enhancers_269	ENSG00000003137	chr2	72143295.0	72143315.0
250514_VIC_CFB_TSS_Enhancers_270	ENSG00000003137	chr2	72143311.0	72143331.0
250514_VIC_CFB_TSS_Enhancers_271	ENSG00000003137	chr2	72147623.0	72147643.0
250514_VIC_CFB_TSS_Enhancers_272	ENSG00000003137	chr2	72147642.0	72147662.0
250514_VIC_CFB_TSS_Enhancers_273	ENSG00000003137	chr2	72147654.0	72147674.0
250514_VIC_CFB_TSS_Enhancers_274	ENSG00000003137	chr2	72147674.0	72147694.0
250514_VIC_CFB_TSS_Enhancers_275	ENSG00000003137	chr2	72147699.0	72147719.0
250514_VIC_CFB_TSS_Enhancers_276	ENSG00000003137	chr2	72147750.0	72147770.0
250514_VIC_CFB_TSS_Enhancers_277	ENSG00000003137	chr2	72147770.0	72147790.0
250514_VIC_CFB_TSS_Enhancers_278	ENSG00000003137	chr2	72147812.0	72147832.0
250514_VIC_CFB_TSS_Enhancers_279	ENSG00000003137	chr2	72147830.0	72147850.0
250514_VIC_CFB_TSS_Enhancers_280	ENSG00000003137	chr2	72147855.0	72147875.0
250514_VIC_CFB_TSS_Enhancers_281	ENSG00000003137	chr2	72147889.0	72147909.0
250514_VIC_CFB_TSS_Enhancers_282	ENSG00000003137	chr2	72147935.0	72147955.0
250514_VIC_CFB_TSS_Enhancers_283	ENSG00000003137	chr2	72147984.0	72148004.0
250514_VIC_CFB_TSS_Enhancers_284	ENSG00000003137	chr2	72147999.0	72148019.0
250514_VIC_CFB_TSS_Enhancers_285	ENSG00000003137	chr2	72148047.0	72148067.0
250514_VIC_CFB_TSS_Enhancers_343	ENSG00000178568	chr2	212538384.0	212538404.0
250514_VIC_CFB_TSS_Enhancers_344	ENSG00000178568	chr2	212538402.0	212538422.0
250514_VIC_CFB_TSS_Enhancers_345	ENSG00000178568	chr2	212538418.0	212538438.0
250514_VIC_CFB_TSS_Enhancers_346	ENSG00000178568	chr2	212538444.0	212538464.0
250514_VIC_CFB_TSS_Enhancers_347	ENSG00000178568	chr2	212538450.0	212538470.0
250514_VIC_CFB_TSS_Enhancers_348	ENSG00000178568	chr2	212538480.0	212538500.0
250514_VIC_CFB_TSS_Enhancers_349	ENSG00000178568	chr2	212538501.0	212538521.0
250514_VIC_CFB_TSS_Enhancers_350	ENSG00000178568	chr2	212538552.0	212538572.0
250514_VIC_CFB_TSS_Enhancers_351	ENSG00000178568	chr2	212538587.0	212538607.0
250514_VIC_CFB_TSS_Enhancers_352	ENSG00000178568	chr2	212538658.0	212538678.0
250514_VIC_CFB_TSS_Enhancers_353	ENSG00000178568	chr2	212538680.0	212538700.0
250514_VIC_CFB_TSS_Enhancers_354	ENSG00000178568	chr2	212538688.0	212538708.0
250514_VIC_CFB_TSS_Enhancers_355	ENSG00000178568	chr2	212538706.0	212538726.0
250514_VIC_CFB_TSS_Enhancers_356	ENSG00000178568	chr2	212538796.0	212538816.0
250514_VIC_CFB_TSS_Enhancers_357	ENSG00000178568	chr2	212538826.0	212538846.0
250514_VIC_CFB_TSS_Enhancers_406	FB_LRRC3B_enh_1	chr3	27076927.0	27076947.0
250514_VIC_CFB_TSS_Enhancers_407	FB_LRRC3B_enh_1	chr3	27076930.0	27076950.0
250514_VIC_CFB_TSS_Enhancers_408	FB_LRRC3B_enh_1	chr3	27076960.0	27076980.0
250514_VIC_CFB_TSS_Enhancers_409	FB_LRRC3B_enh_1	chr3	27076966.0	27076986.0
250514_VIC_CFB_TSS_Enhancers_410	FB_LRRC3B_enh_1	chr3	27076982.0	27077002.0
250514_VIC_CFB_TSS_Enhancers_411	FB_LRRC3B_enh_1	chr3	27077015.0	27077035.0
250514_VIC_CFB_TSS_Enhancers_412	FB_LRRC3B_enh_1	chr3	27077038.0	27077058.0
250514_VIC_CFB_TSS_Enhancers_413	FB_LRRC3B_enh_1	chr3	27077044.0	27077064.0
250514_VIC_CFB_TSS_Enhancers_414	FB_LRRC3B_enh_1	chr3	27077093.0	27077113.0
250514_VIC_CFB_TSS_Enhancers_415	FB_LRRC3B_enh_1	chr3	27077104.0	27077124.0
250514_VIC_CFB_TSS_Enhancers_416	FB_LRRC3B_enh_1	chr3	27077105.0	27077125.0
250514_VIC_CFB_TSS_Enhancers_417	FB_LRRC3B_enh_1	chr3	27077112.0	27077132.0
250514_VIC_CFB_TSS_Enhancers_418	FB_LRRC3B_enh_1	chr3	27077119.0	27077139.0
250514_VIC_CFB_TSS_Enhancers_419	FB_LRRC3B_enh_1	chr3	27077123.0	27077143.0
250514_VIC_CFB_TSS_Enhancers_420	FB_LRRC3B_enh_1	chr3	27077153.0	27077173.0
250514_VIC_CFB_TSS_Enhancers_451	ENSG00000160145	chr3	124033119.0	124033139.0
250514_VIC_CFB_TSS_Enhancers_452	ENSG00000160145	chr3	124033136.0	124033156.0
250514_VIC_CFB_TSS_Enhancers_453	ENSG00000160145	chr3	124033144.0	124033164.0
250514_VIC_CFB_TSS_Enhancers_454	ENSG00000160145	chr3	124033157.0	124033177.0
250514_VIC_CFB_TSS_Enhancers_455	ENSG00000160145	chr3	124033269.0	124033289.0
250514_VIC_CFB_TSS_Enhancers_456	ENSG00000160145	chr3	124033364.0	124033384.0
250514_VIC_CFB_TSS_Enhancers_457	ENSG00000160145	chr3	124033396.0	124033416.0
250514_VIC_CFB_TSS_Enhancers_458	ENSG00000160145	chr3	124033461.0	124033481.0
250514_VIC_CFB_TSS_Enhancers_459	ENSG00000160145	chr3	124033474.0	124033494.0
250514_VIC_CFB_TSS_Enhancers_460	ENSG00000160145	chr3	124033482.0	124033502.0
250514_VIC_CFB_TSS_Enhancers_461	ENSG00000160145	chr3	124033492.0	124033512.0
250514_VIC_CFB_TSS_Enhancers_462	ENSG00000160145	chr3	124033541.0	124033561.0
250514_VIC_CFB_TSS_Enhancers_463	ENSG00000160145	chr3	124033552.0	124033572.0
250514_VIC_CFB_TSS_Enhancers_464	ENSG00000160145	chr3	124033589.0	124033609.0
250514_VIC_CFB_TSS_Enhancers_465	ENSG00000160145	chr3	124033598.0	124033618.0
250514_VIC_CFB_TSS_Enhancers_466	ENSG00000160145	chr3	124584412.0	124584432.0
250514_VIC_CFB_TSS_Enhancers_467	ENSG00000160145	chr3	124584441.0	124584461.0
250514_VIC_CFB_TSS_Enhancers_468	ENSG00000160145	chr3	124584501.0	124584521.0
250514_VIC_CFB_TSS_Enhancers_469	ENSG00000160145	chr3	124584515.0	124584535.0
250514_VIC_CFB_TSS_Enhancers_470	ENSG00000160145	chr3	124584558.0	124584578.0
250514_VIC_CFB_TSS_Enhancers_471	ENSG00000160145	chr3	124584596.0	124584616.0
250514_VIC_CFB_TSS_Enhancers_472	ENSG00000160145	chr3	124584636.0	124584656.0
250514_VIC_CFB_TSS_Enhancers_473	ENSG00000160145	chr3	124584643.0	124584663.0
250514_VIC_CFB_TSS_Enhancers_474	ENSG00000160145	chr3	124584687.0	124584707.0
250514_VIC_CFB_TSS_Enhancers_475	ENSG00000160145	chr3	124584717.0	124584737.0
250514_VIC_CFB_TSS_Enhancers_476	ENSG00000160145	chr3	124584758.0	124584778.0
250514_VIC_CFB_TSS_Enhancers_477	ENSG00000160145	chr3	124584784.0	124584804.0
250514_VIC_CFB_TSS_Enhancers_478	ENSG00000160145	chr3	124584792.0	124584812.0
250514_VIC_CFB_TSS_Enhancers_479	ENSG00000160145	chr3	124584816.0	124584836.0
250514_VIC_CFB_TSS_Enhancers_480	ENSG00000160145	chr3	124584858.0	124584878.0
250514_VIC_CFB_TSS_Enhancers_481	ENSG00000085276	chr3	169146155.0	169146175.0
250514_VIC_CFB_TSS_Enhancers_482	ENSG00000085276	chr3	169146217.0	169146237.0
250514_VIC_CFB_TSS_Enhancers_483	ENSG00000085276	chr3	169146285.0	169146305.0
250514_VIC_CFB_TSS_Enhancers_484	ENSG00000085276	chr3	169146318.0	169146338.0
250514_VIC_CFB_TSS_Enhancers_485	ENSG00000085276	chr3	169146372.0	169146392.0
250514_VIC_CFB_TSS_Enhancers_486	ENSG00000085276	chr3	169146377.0	169146397.0
250514_VIC_CFB_TSS_Enhancers_487	ENSG00000085276	chr3	169146394.0	169146414.0
250514_VIC_CFB_TSS_Enhancers_488	ENSG00000085276	chr3	169146420.0	169146440.0
250514_VIC_CFB_TSS_Enhancers_489	ENSG00000085276	chr3	169146459.0	169146479.0
250514_VIC_CFB_TSS_Enhancers_490	ENSG00000085276	chr3	169146475.0	169146495.0
250514_VIC_CFB_TSS_Enhancers_491	ENSG00000085276	chr3	169146485.0	169146505.0
250514_VIC_CFB_TSS_Enhancers_492	ENSG00000085276	chr3	169146497.0	169146517.0
250514_VIC_CFB_TSS_Enhancers_493	ENSG00000085276	chr3	169146510.0	169146530.0
250514_VIC_CFB_TSS_Enhancers_494	ENSG00000085276	chr3	169146516.0	169146536.0
250514_VIC_CFB_TSS_Enhancers_495	ENSG00000085276	chr3	169146528.0	169146548.0
250514_VIC_CFB_TSS_Enhancers_496	ENSG00000085276	chr3	169147507.0	169147527.0
250514_VIC_CFB_TSS_Enhancers_497	ENSG00000085276	chr3	169147511.0	169147531.0
250514_VIC_CFB_TSS_Enhancers_498	ENSG00000085276	chr3	169147526.0	169147546.0
250514_VIC_CFB_TSS_Enhancers_499	ENSG00000085276	chr3	169147563.0	169147583.0
250514_VIC_CFB_TSS_Enhancers_500	ENSG00000085276	chr3	169147618.0	169147638.0
250514_VIC_CFB_TSS_Enhancers_501	ENSG00000085276	chr3	169147620.0	169147640.0
250514_VIC_CFB_TSS_Enhancers_502	ENSG00000085276	chr3	169147637.0	169147657.0
250514_VIC_CFB_TSS_Enhancers_503	ENSG00000085276	chr3	169147653.0	169147673.0
250514_VIC_CFB_TSS_Enhancers_504	ENSG00000085276	chr3	169147671.0	169147691.0
250514_VIC_CFB_TSS_Enhancers_505	ENSG00000085276	chr3	169147685.0	169147705.0
250514_VIC_CFB_TSS_Enhancers_506	ENSG00000085276	chr3	169147693.0	169147713.0
250514_VIC_CFB_TSS_Enhancers_507	ENSG00000085276	chr3	169147824.0	169147844.0
250514_VIC_CFB_TSS_Enhancers_508	ENSG00000085276	chr3	169147831.0	169147851.0
250514_VIC_CFB_TSS_Enhancers_509	ENSG00000085276	chr3	169147834.0	169147854.0
250514_VIC_CFB_TSS_Enhancers_510	ENSG00000085276	chr3	169147869.0	169147889.0
250514_VIC_CFB_TSS_Enhancers_556	ENSG00000138639	chr4	85778481.0	85778501.0
250514_VIC_CFB_TSS_Enhancers_557	ENSG00000138639	chr4	85778552.0	85778572.0
250514_VIC_CFB_TSS_Enhancers_558	ENSG00000138639	chr4	85778553.0	85778573.0
250514_VIC_CFB_TSS_Enhancers_559	ENSG00000138639	chr4	85778575.0	85778595.0
250514_VIC_CFB_TSS_Enhancers_560	ENSG00000138639	chr4	85778692.0	85778712.0
250514_VIC_CFB_TSS_Enhancers_561	ENSG00000138639	chr4	85778714.0	85778734.0
250514_VIC_CFB_TSS_Enhancers_562	ENSG00000138639	chr4	85778717.0	85778737.0
250514_VIC_CFB_TSS_Enhancers_563	ENSG00000138639	chr4	85778797.0	85778817.0
250514_VIC_CFB_TSS_Enhancers_564	ENSG00000138639	chr4	85778802.0	85778822.0
250514_VIC_CFB_TSS_Enhancers_565	ENSG00000138639	chr4	85778807.0	85778827.0
250514_VIC_CFB_TSS_Enhancers_566	ENSG00000138639	chr4	85778810.0	85778830.0
250514_VIC_CFB_TSS_Enhancers_567	ENSG00000138639	chr4	85778880.0	85778900.0
250514_VIC_CFB_TSS_Enhancers_568	ENSG00000138639	chr4	85778899.0	85778919.0
250514_VIC_CFB_TSS_Enhancers_569	ENSG00000138639	chr4	85778905.0	85778925.0
250514_VIC_CFB_TSS_Enhancers_570	ENSG00000138639	chr4	85778906.0	85778926.0
250514_VIC_CFB_TSS_Enhancers_571	FB_MAPK10_enh_1	chr4	85790659.0	85790679.0
250514_VIC_CFB_TSS_Enhancers_572	FB_MAPK10_enh_1	chr4	85790683.0	85790703.0
250514_VIC_CFB_TSS_Enhancers_573	FB_MAPK10_enh_1	chr4	85790707.0	85790727.0
250514_VIC_CFB_TSS_Enhancers_574	FB_MAPK10_enh_1	chr4	85790708.0	85790728.0
250514_VIC_CFB_TSS_Enhancers_575	FB_MAPK10_enh_1	chr4	85790724.0	85790744.0
250514_VIC_CFB_TSS_Enhancers_576	FB_MAPK10_enh_1	chr4	85790733.0	85790753.0
250514_VIC_CFB_TSS_Enhancers_577	FB_MAPK10_enh_1	chr4	85790780.0	85790800.0
250514_VIC_CFB_TSS_Enhancers_578	FB_MAPK10_enh_1	chr4	85790789.0	85790809.0
250514_VIC_CFB_TSS_Enhancers_579	FB_MAPK10_enh_1	chr4	85790862.0	85790882.0
250514_VIC_CFB_TSS_Enhancers_580	FB_MAPK10_enh_1	chr4	85790881.0	85790901.0
250514_VIC_CFB_TSS_Enhancers_581	FB_MAPK10_enh_1	chr4	85790895.0	85790915.0
250514_VIC_CFB_TSS_Enhancers_582	FB_MAPK10_enh_1	chr4	85790929.0	85790949.0
250514_VIC_CFB_TSS_Enhancers_598	ENSG00000109339	chr4	86594378.0	86594398.0
250514_VIC_CFB_TSS_Enhancers_599	ENSG00000109339	chr4	86594405.0	86594425.0
250514_VIC_CFB_TSS_Enhancers_600	ENSG00000109339	chr4	86594422.0	86594442.0
250514_VIC_CFB_TSS_Enhancers_601	ENSG00000109339	chr4	86594485.0	86594505.0
250514_VIC_CFB_TSS_Enhancers_602	ENSG00000109339	chr4	86594494.0	86594514.0
250514_VIC_CFB_TSS_Enhancers_603	ENSG00000109339	chr4	86594544.0	86594564.0
250514_VIC_CFB_TSS_Enhancers_604	ENSG00000109339	chr4	86594568.0	86594588.0
250514_VIC_CFB_TSS_Enhancers_605	ENSG00000109339	chr4	86594626.0	86594646.0
250514_VIC_CFB_TSS_Enhancers_606	ENSG00000109339	chr4	86594658.0	86594678.0
250514_VIC_CFB_TSS_Enhancers_607	ENSG00000109339	chr4	86594683.0	86594703.0
250514_VIC_CFB_TSS_Enhancers_608	ENSG00000109339	chr4	86594725.0	86594745.0
250514_VIC_CFB_TSS_Enhancers_609	ENSG00000109339	chr4	86594745.0	86594765.0
250514_VIC_CFB_TSS_Enhancers_610	ENSG00000109339	chr4	86594752.0	86594772.0
250514_VIC_CFB_TSS_Enhancers_611	ENSG00000109339	chr4	86594785.0	86594805.0
250514_VIC_CFB_TSS_Enhancers_612	ENSG00000109339	chr4	86594809.0	86594829.0
250514_VIC_CFB_TSS_Enhancers_613	ENSG00000196159	chr4	125314669.0	125314689.0
250514_VIC_CFB_TSS_Enhancers_614	ENSG00000196159	chr4	125314764.0	125314784.0
